,Rank,Company,CEO,Female,NameNoSpaces,FullName
628,629,Andersons,Patrick Bowe,0,PatrickBowe,Patrick E. Bowe
629,630,TD Ameritrade Holding,Timothy Hockey,0,TimothyHockey,Timothy D. Hockey
630,631,Carlyle Group,Kewsong Lee/Glenn Youngkin,0,KewsongLee/GlennYoungkin,Kewsong Lee/Glenn A. Youngkin
631,632,Hubbell,David Nord,0,DavidNord,David G. Nord
632,633,Trinity Industries,Timothy Wallace,0,TimothyWallace,Timothy R. Wallace
633,634,Darling Ingredients,Randall Stuewe,0,RandallStuewe,Randall C. Stuewe
634,635,Flowserve,Scott Rowe,0,ScottRowe,R. Scott Rowe
635,636,Antero Resources,Paul Rady,0,PaulRady,Paul M. Rady
636,637,Skyworks Solutions,Liam Griffin,0,LiamGriffin,Liam K. Griffin
637,638,Landstar System,James Gattoni,0,JamesGattoni,James B. Gattoni
638,639,Buckeye Partners,Clark Smith,0,ClarkSmith,Clark C. Smith
639,640,MRC Global,Andrew Lane,0,AndrewLane,Andrew R. Lane
640,641,CME Group,Terrence Duffy,0,TerrenceDuffy,Terrence A. Duffy
641,642,Greif,Peter Watson,0,PeterWatson,Peter G. Watson
642,643,Nexeo Solutions,David Bradley,0,DavidBradley,David A. Bradley
643,644,Cooper-Standard Holdings,Jeffrey Edwards,0,JeffreyEdwards,Jeffrey S. Edwards
644,645,Urban Outfitters,Richard Hayne,0,RichardHayne,Richard A. Hayne
645,646,LSC Communications,Thomas Quinlan I,0,ThomasQuinlanI,Thomas J. Quinlan III
646,647,Sabre,Sean Menke,0,SeanMenke,Sean E. Menke
647,648,Green Plains,Todd Becker,0,ToddBecker,Todd A. Becker
648,649,Hexion,Craig Rogerson,0,CraigRogerson,Craig A. Rogerson
649,650,Stericycle,Charles Alutto,0,CharlesAlutto,Charles A. Alutto
650,651,Warner Music Group,Stephen Cooper,0,StephenCooper,Stephen F. Cooper
651,652,Ventas,Debra Cafaro,0,DebraCafaro,Debra A. Cafaro
652,653,ScanSource,Michael Baur,0,MichaelBaur,Michael L. Baur
653,654,Pinnacle West Capital,Donald Brandt,0,DonaldBrandt,Donald E. Brandt
654,655,Scripps Networks Interactive,David Zaslav,0,DavidZaslav,David M. Zaslav
655,656,Alexion Pharmaceuticals,Ludwig Hantson,0,LudwigHantson,Ludwig N. Hantson
656,657,Pitney Bowes,Marc Lautenbach,0,MarcLautenbach,Marc B. Lautenbach
657,658,CIT Group,Ellen Alemany,0,EllenAlemany,Ellen R. Alemany
658,659,Country Financial,Kurt Bock,0,KurtBock,Kurt F. Bock
659,660,CUNA Mutual Group,Robert Trunzo,0,RobertTrunzo,Robert N. Trunzo
660,661,Triumph Group,Daniel Crowley,0,DanielCrowley,Daniel J. Crowley
661,662,TransDigm Group,Kevin Stein,0,KevinStein,Kevin M. Stein
662,663,Allegheny Technologies,Richard Harshman,0,RichardHarshman,Richard J. Harshman
663,664,Resolute Forest Products,Yves Laflamme,0,YvesLaflamme,Yves Laflamme
664,665,Acuity Brands,Vernon Nagel,0,VernonNagel,Vernon J. Nagel
665,666,Abercrombie & Fitch,Fran Horowitz-Bonadies,0,FranHorowitz-Bonadies,Fran Horowitz-Bonadies
666,667,KLA-Tencor,Richard Wallace,0,RichardWallace,Richard P. Wallace
667,668,Weis Markets,Jonathan Weis,0,JonathanWeis,Jonathan H. Weis
668,669,Puget Energy,Kimberly Harris,0,KimberlyHarris,Kimberly J. Harris
669,670,Mednax,Roger Medel,0,RogerMedel,Roger J. Medel
670,671,Kar Auction Services,James Hallett,0,JamesHallett,James P. Hallett
671,672,PolyOne,Robert Patterson,0,RobertPatterson,Robert M. Patterson
672,673,FMC,Pierre Brondeau,0,PierreBrondeau,Pierre R. Brondeau
673,674,Edwards Lifesciences,Michael Mussallem,0,MichaelMussallem,Michael A. Mussallem
674,675,Microchip Technology,Steve Sanghi,0,SteveSanghi,Steve Sanghi
675,676,Amerco,Edward Shoen,0,EdwardShoen,Edward J. Shoen
676,677,Mercury General,Gabriel Tirador,0,GabrielTirador,Gabriel Tirador
677,678,American National Insurance,James Pozzi,0,JamesPozzi,James E. Pozzi
678,679,Carters,Michael Casey,0,MichaelCasey,Michael D. Casey
679,680,International Flavors & Fragrances,Andreas Fibig,0,AndreasFibig,Andreas Fibig
680,681,Aarons,John Robinson I,0,JohnRobinsonI,John W. Robinson III
681,682,Alliant Energy,Patricia Kampling,0,PatriciaKampling,Patricia L. Kampling
682,683,EQT,David Porges,0,DavidPorges,David L. Porges
683,684,Monster Beverage,Rodney Sacks,0,RodneySacks,Rodney C. Sacks
684,685,BMC Stock Holdings,David Keltner,0,DavidKeltner,David L. Keltner
685,686,Ryerson Holding,Edward Lehner,0,EdwardLehner,Edward J. Lehner
686,687,Equifax,Mark Begor,0,MarkBegor,Mark W. Begor
687,688,Regal Beloit,Mark Gliebe,0,MarkGliebe,Mark J. Gliebe
688,689,Old Dominion Freight Line,Greg Gantt,0,GregGantt,Greg C. Gantt
689,690,American Water Works,Susan Story,0,SusanStory,Susan N. Story
690,691,BGC Partners,Howard Lutnick,0,HowardLutnick,Howard W. Lutnick
691,692,Brinks,Douglas Pertz,0,DouglasPertz,Douglas A. Pertz
692,692,Meritor,Douglas Pertz,0,DouglasPertz,Douglas A. Pertz
693,694,Sentry Insurance Group,Peter McPartland,0,PeterMcPartland,Peter G. McPartland
694,695,Sanderson Farms,Joe Sanderson ,0,JoeSanderson,Joe F. Sanderson Jr.
695,696,KapStone Paper & Packaging,Matthew Kaplan,0,MatthewKaplan,Matthew Kaplan
696,697,Gartner,Eugene Hall,0,EugeneHall,Eugene A. Hall
697,698,IAC/InterActiveCorp,Joseph Levin,0,JosephLevin,Joseph Levin
698,699,Tailored Brands,Douglas Ewert,0,DouglasEwert,Douglas S. Ewert
699,700,WABCO Holdings,Jacques Esculier,0,JacquesEsculier,Jacques Esculier
700,701,Insperity,Paul Sarvadi,0,PaulSarvadi,Paul J. Sarvadi
701,702,Comerica,Ralph Babb ,0,RalphBabb,Ralph W. Babb Jr.
702,703,TriNet Group,Burton Goldfield,0,BurtonGoldfield,Burton M. Goldfield
703,704,Avaya Holdings,James Chirico ,0,JamesChirico,James M. Chirico Jr.
704,705,Ashland Global Holdings,William Wulfsohn,0,WilliamWulfsohn,William A. Wulfsohn
705,706,Meritage Homes,Steven Hilton,0,StevenHilton,Steven J. Hilton
706,707,SkyWest,Russell Childs,0,RussellChilds,Russell A. Childs
707,708,USG,Jennifer Scanlon,0,JenniferScanlon,Jennifer F. Scanlon
708,709,Southwestern Energy,William Way,0,WilliamWay,William J. Way
709,710,Keysight Technologies,Ronald Nersesian,0,RonaldNersesian,Ronald S. Nersesian
710,711,Regal Entertainment Group,Nisan Cohen,0,NisanCohen,Nisan Cohen
711,712,Mutual of America Life Insurance,John Greed,0,JohnGreed,John R. Greed
712,713,Paychex,Martin Mucci,0,MartinMucci,Martin Mucci
713,714,Brinker International,Wyman Roberts,0,WymanRoberts,Wyman T. Roberts
714,715,Penn National Gaming,Timothy Wilmott,0,TimothyWilmott,Timothy J. Wilmott
715,716,Gannett,Robert Dickey,0,RobertDickey,Robert J. Dickey
716,717,Visteon,Sachin Lawande,0,SachinLawande,Sachin S. Lawande
717,718,Pinnacle Foods,Mark Clouse,0,MarkClouse,Mark A. Clouse
718,719,Intuitive Surgical,Gary Guthart,0,GaryGuthart,Gary S. Guthart
719,720,Continental Resources,Harold Hamm,0,HaroldHamm,Harold G. Hamm
720,721,Service Corp. International,Thomas Ryan,0,ThomasRyan,Thomas L. Ryan
721,722,Scientific Games,Barry Cottle,0,BarryCottle,Barry L. Cottle
722,723,Albemarle,Luther Kissam ,0,LutherKissam,Luther C. Kissam IV
723,724,Atmos Energy,Michael Haefner,0,MichaelHaefner,Michael E. Haefner
724,725,Hologic,Stephen MacMillan,0,StephenMacMillan,Stephen P. MacMillan
725,726,H& R Block,Jeffrey Jones ,0,JeffreyJones,Jeffrey J. Jones II
726,727,Qorvo,Robert Bruggeworth,0,RobertBruggeworth,Robert A. Bruggeworth
727,728,Steelcase,James Keane,0,JamesKeane,James P. Keane
728,729,Univision Communications,Vincent Sadusky,0,VincentSadusky,Vincent Sadusky
729,730,Worthington Industries,John McConnell,0,JohnMcConnell,John P. McConnell
730,731,Timken,Richard Kyle,0,RichardKyle,Richard G. Kyle
731,732,A.O. Smith,Ajita Rajendra,0,AjitaRajendra,Ajita G. Rajendra
732,733,PriceSmart,Jose Luis Laparte,0,JoseLuisLaparte,Jose Luis Laparte
733,734,Stifel Financial,Ronald Kruszewski,0,RonaldKruszewski,Ronald J. Kruszewski
